index,sourceid,pagenumber,pos_on_page,exact_url,hash_url,opinion_section
1,14,6,1,http://www.firstpost.com/business/economy/sept-retail-inflation-falls-to-6-46-what-the-modi-govt-must-do-before-rejoicing-1993859.html,07e46841b615a129d8484f9b4d39b040,No
2,14,6,2,http://www.firstpost.com/business/after-pulses-rice-prices-may-scale-up-on-depleting-stock-poor-rainfall-2508066.html,b78865293c7fcb66cec37d613ef7a025,No
3,14,6,3,http://www.firstpost.com/business/how-groupon-pulled-off-the-great-onion-coup-1104787.html,c5eda081043feb23f24eff19b43d2aae,No
4,14,6,4,http://www.firstpost.com/india/will-no-water-crisis-hike-vegetable-prices-delhi-summer-kejriwal-2194067.html,cf2455b732f98aa9070f7936fbc9847f,No
5,14,6,5,http://www.firstpost.com/politics/congress-new-antic-protest-inflation-selling-rahul-gandhi-pyaaz-rs-5kg-2368982.html,5d7a934ce1173bab4ab36441edf43b48,No
6,14,6,6,http://www.firstpost.com/india/just-booze-delhi-govt-sell-onions-potatoes-liquor-outlets-1607903.html,e24396edc5001197af1e8c0f0eaf3d56,No
7,14,6,7,http://www.firstpost.com/politics/the-onion-trackers-of-delhi-what-sheila-dikshit-should-have-been-watching-1261901.html,a2c4d9a7218ac350934287f762f08b07,No
8,14,6,8,http://www.firstpost.com/business/economy/400-rise-in-tomato-60-price-rise-in-chillies-but-dont-expect-relief-soon-1980717.html,1a23086923b88616e45605ae23fd5c0d,No
9,14,6,9,http://www.firstpost.com/world/kim-jong-un-as-sexiest-man-how-chinas-daily-fell-for-onions-joke-538906.html,9c350893de41b36aba94c2adc3fe9f39,No
10,14,6,10,http://www.firstpost.com/business/property-prices-should-fall-rajan-reads-out-riot-act-to-real-estate-wallahs-2401010.html,5ccf4ccf5d96c116d9921467ae0819c1,No
11,14,1,1,http://www.firstpost.com/india/onion-price-rise-consumer-affairs-minister-paswan-blames-delhi-govt-for-not-acting-against-hoarders-2405446.html,395b002d9a63750f9ebd22ae920f066b,No
12,14,1,2,http://www.firstpost.com/business/economy/onion-prices-hit-record-high-at-rs-80kg-may-hit-rs-100-in-a-week-1028881.html,cf4323b89405b3db41d2f54fbea8e3d0,No
13,14,1,3,http://www.firstpost.com/india/govt-may-import-onions-prices-soar-to-rs-90kg-1187639.html,e732bcba1ba2c09e82a66f3766261e9f,No
14,14,1,4,http://www.firstpost.com/business/weak-monsoon-fuels-inflation-onion-prices-two-year-high-2360514.html,0eb7b0f73957784e468175699ba31220,No
15,14,1,5,http://www.firstpost.com/india/govt-puts-onion-potato-essential-commodities-act-control-price-rise-1599999.html,2c6e51d30913d778e4cde316c6e38ab0,No
16,14,1,6,http://www.firstpost.com/business/economy/govt-cuts-onion-export-floor-price-by-more-than-half-to-150tn-1308493.html,eaa5f644f01c813b9676a7ef0f1a94d0,No
17,14,1,7,http://www.firstpost.com/business/economy/onion-prices-drop-in-nashik-likely-to-stabilise-next-week-1043619.html,b8dd7f7f4bb4b7aa5d3777b81cfd7eb1,No
18,14,1,8,http://www.firstpost.com/business/decoding-5-4-retail-inflation-as-food-prices-soar-rural-india-is-worst-hit-2545686.html,1005948d5b9451f081f5cd9029f03c08,No
19,14,1,9,http://www.firstpost.com/india/the-great-onion-robbery-robbers-steal-700-kg-worth-rs-50000-from-mumbai-shop-2404846.html,9ac41c784c9149d4a602a4d4afb16d5c,No
